NAME,NAME_EN,NAME_RU,OSM_ID,Amount of,Employees,revenue in,amount o_1,employee i,revenue _1
Pacs del Penedès,,,"341416",14.000000000000000,372.000000000000000,126355335.291658937931061,2.000000000000000,256.000000000000000,111099592.000000000000000
Premià de Dalt,,,"341323",66.000000000000000,166.000000000000000,23080890.719396587461233,10.000000000000000,35.000000000000000,8828650.904158238321543
Orpí,,,"341418",3.000000000000000,5.000000000000000,424136.419555555970874,2.000000000000000,4.000000000000000,385588.875555555976462
Orís,,,"341803",2.000000000000000,5.000000000000000,859765.913632818963379,1.000000000000000,4.000000000000000,815336.229999999981374
Sant Pere de Riudebitlles,,,"341445",32.000000000000000,383.000000000000000,138378627.962064683437347,3.000000000000000,12.000000000000000,1024087.496289180009626
Sant Pere de Vilamajor,,,"341485",33.000000000000000,73.000000000000000,7676613.297482667490840,3.000000000000000,28.000000000000000,2236232.330858131870627
Pallejà,,,"341413",66.000000000000000,395.000000000000000,56748286.086316786706448,13.000000000000000,108.000000000000000,16655032.505704795941710
Sant Pere de Ribes,,,"341476",116.000000000000000,409.000000000000000,56802329.461377657949924,15.000000000000000,130.000000000000000,16793108.917125698179007
Ullastrell,,,"341894",17.000000000000000,168.000000000000000,36886323.688825391232967,3.000000000000000,13.000000000000000,26291629.767408173531294
Parets del Vallès,,,"341410",127.000000000000000,5215.000000000000000,1474412218.325127840042114,48.000000000000000,4069.000000000000000,1189407298.459884881973267
Sant Pol de Mar,,,"341355",23.000000000000000,136.000000000000000,36585763.641113370656967,2.000000000000000,2.000000000000000,150655.246361683995929
Vic,,,"341903",368.000000000000000,6575.000000000000000,1636505956.942969083786011,59.000000000000000,644.000000000000000,141638679.297238826751709
Vacarisses,,,"341895",57.000000000000000,724.000000000000000,243164446.471043884754181,13.000000000000000,217.000000000000000,55564232.838103361427784
Vallbona d'Anoia,,,"341896",12.000000000000000,85.000000000000000,25110880.277224775403738,1.000000000000000,48.000000000000000,22598548.279999997466803
Sant Quirze de Besora,,,"341484",22.000000000000000,374.000000000000000,82763934.421398505568504,2.000000000000000,14.000000000000000,1048439.459999999962747
Vallgorguina,,,"341898",17.000000000000000,19.000000000000000,1113549.566384717123583,2.000000000000000,2.000000000000000,350355.593999829026870
Sant Quirze Safaja,,,"341497",7.000000000000000,27.000000000000000,4748002.219999999739230,0.000000000000000,0.000000000000000,0.000000000000000
Vallirana,,,"341899",84.000000000000000,382.000000000000000,68488290.665774479508400,6.000000000000000,103.000000000000000,28154218.054893791675568
Santa Maria de Besora,,,"341733",2.000000000000000,2.000000000000000,117357.918999999994412,0.000000000000000,0.000000000000000,0.000000000000000
Vilanova del Vallès,,,"341774",37.000000000000000,90.000000000000000,13973600.330576652660966,4.000000000000000,4.000000000000000,325991.655936926952563
Vilada,,,"341904",7.000000000000000,14.000000000000000,1037702.043000000063330,0.000000000000000,0.000000000000000,0.000000000000000
Vallcebre,,,"341897",1.000000000000000,1.000000000000000,66189.506999999997788,0.000000000000000,0.000000000000000,0.000000000000000
Veciana,,,"341901",3.000000000000000,3.000000000000000,197162.519000000029337,1.000000000000000,1.000000000000000,79804.600000000005821
Palafolls,,,"341791",55.000000000000000,409.000000000000000,92563171.787302613258362,7.000000000000000,202.000000000000000,63468222.941036574542522
Oristà,,,"341802",4.000000000000000,9.000000000000000,1521809.888999999966472,0.000000000000000,0.000000000000000,0.000000000000000
